panel,metric,covariate,group,n,kendall_tau,kendall_tau_ci95_low,kendall_tau_ci95_high,delta_tau_vs_full,permutation_pvalue,fdr_qvalue
P2,F3_Longitudinal,response_magnitude_quartile,Q2,55,0.08622432284296694,-0.11340558760066004,0.2874786886408245,-0.12893213964481923,0.1614,0.0009
P2,F3_Longitudinal,response_magnitude_quartile,Q4_high,50,-0.07755102040816327,-0.31423187411348424,0.14306461825694608,-0.29270748289594944,0.0004,0.0009
P2,F3_Longitudinal,rms_match_quality,best_match,69,0.21710390453254355,0.013909972674017619,0.45480577804948624,0.001947442044757386,0.1382,0.11280000000000001
P2,F3_Longitudinal,rms_match_quality,mid_match,69,0.35387455949363233,0.2115790808391314,0.486047960962586,0.13871809700584617,0.083,0.11280000000000001
P2,F3_Longitudinal,rms_match_quality,loose_match,69,0.37356076759061835,0.2246170976536639,0.5142646815735653,0.15840430510283218,0.0376,0.11280000000000001
P2,F3_Longitudinal,lattice_match_quality,best_match,69,0.18972500964021216,-0.00753712864306302,0.3907956448357458,-0.025431452847574004,0.6986,0.7744
P2,F3_Longitudinal,lattice_match_quality,mid_match,69,0.2424643643839835,-0.007893743690484747,0.4593573768888408,0.027307901896197334,0.7744,0.7744
P2,F3_Longitudinal,lattice_match_quality,loose_match,69,0.24370474094237551,0.054398744398245484,0.4182180962811869,0.02854827845458935,0.7256,0.7744
P2,F3_Longitudinal,heavy_atom_fraction,low_heavy,75,0.33985944476473307,0.12382935074986713,0.5315191534462513,0.1247029822769469,0.026,0.039
P2,F3_Longitudinal,heavy_atom_fraction,mid_heavy,65,0.263588294080352,0.10264441308895973,0.42503131040364656,0.04843183159256584,0.6818,0.039
P2,F3_Longitudinal,heavy_atom_fraction,high_heavy,67,0.06966749782383085,-0.17062027925959125,0.29215211245871736,-0.14548896466395533,0.0192,0.039
P2,F4_KelvinOp,crystal_system,cubic,31,0.21290322580645166,-0.0022821116739263226,0.4202247191011235,0.0077341278187411655,0.79,0.2356
P2,F4_KelvinOp,crystal_system,hexagonal,91,0.11212898581262855,-0.08255543669300634,0.32972974701015545,-0.09304011217508194,0.1178,0.2356
P2,F4_KelvinOp,anion_group,other,36,-0.050793650793650794,-0.29650937614903783,0.3007306331818316,-0.25596274878136127,0.0106,0.006
P2,F4_KelvinOp,anion_group,sulfide,30,-0.06451612903225806,-0.4312899317030182,0.39591848859315554,-0.26968522701996855,0.0158,0.006
P2,F4_KelvinOp,anion_group,oxide,67,0.47048180348561086,0.2894842652911192,0.620606519479193,0.26531270549790037,0.002,0.006
P2,F4_KelvinOp,response_magnitude_quartile,Q1_low,81,0.27358345238839155,0.13049494585673993,0.40909803469149536,0.06841435440068105,0.0008,0.0024000000000000002
P2,F4_KelvinOp,response_magnitude_quartile,Q2,51,-0.046274509803921574,-0.23159509202453987,0.14765250609630873,-0.25144360779163205,0.0182,0.0024000000000000002
P2,F4_KelvinOp,response_magnitude_quartile,Q4_high,49,-0.027210884353741496,-0.22294991421163235,0.1799164894095086,-0.232379982341452,0.002,0.0024000000000000002
P2,F4_KelvinOp,rms_match_quality,best_match,69,0.1764705882352941,-0.022832626670893433,0.40619615363815215,-0.02869850975241639,0.0566,0.0794
P2,F4_KelvinOp,rms_match_quality,mid_match,69,0.3710812624374791,0.21891993701090867,0.5170727462297933,0.16591216444976858,0.0294,0.0794
P2,F4_KelvinOp,rms_match_quality,loose_match,69,0.3363888373171402,0.1860288226624337,0.4774914148570543,0.1312197393294297,0.0794,0.0794
P2,F4_KelvinOp,lattice_match_quality,best_match,69,0.2114236999147485,0.030374716474563725,0.40999973324898914,0.0062546019270380004,0.919,0.919
P2,F4_KelvinOp,lattice_match_quality,mid_match,69,0.19011082693947143,-0.07654015777095415,0.4401107468186394,-0.015058271048239064,0.794,0.919
P2,F4_KelvinOp,lattice_match_quality,loose_match,69,0.2644487157600426,0.08545334887228354,0.434126515823636,0.059279617772332094,0.4648,0.919
P2,F4_KelvinOp,heavy_atom_fraction,low_heavy,75,0.32732516222062,0.0951029042591241,0.5407446971586657,0.12215606423290953,0.032,0.048
P2,F4_KelvinOp,heavy_atom_fraction,mid_heavy,65,0.2457321542539593,0.06772166377028394,0.41181211009838664,0.040563056266248815,0.7014,0.048
P2,F4_KelvinOp,heavy_atom_fraction,high_heavy,67,0.07509613401789558,-0.1579205829601607,0.28596397275426727,-0.1300729639698149,0.0304,0.048
