q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,attribute
9.0,51,573,46,0.8214285714285714,0.046994555952628414,0.8126228662314418,2.471721221677926e-56,17.47922828032656,6.339285714285714,4.75,,,P0,band_gap
10.0,57,573,51,0.8095238095238095,0.05275760760908707,0.7989150485596259,4.080201296676863e-59,15.344209986208238,6.555555555555555,5.0,,,P0,band_gap
11.0,63,573,59,0.8805970149253731,0.05858458404020633,0.8731665287710497,1.9537778792124416e-70,15.031207088899418,6.492537313432836,5.0,,,P0,band_gap
12.0,68,573,65,0.9154929577464789,0.06348998130614933,0.9097638673728413,4.654144952471229e-78,14.419486963336194,6.507042253521127,5.0,,,P0,band_gap
13.0,74,573,71,0.922077922077922,0.06943688706444504,0.9162635216903613,4.8114769385903635e-83,13.279367221951249,6.584415584415584,5.0,,,P0,band_gap
14.0,80,573,78,0.9512195121951219,0.07545075520425892,0.9472386267367996,1.995672583953323e-91,12.607156941239323,6.341463414634147,4.75,,,P0,band_gap
15.0,85,573,82,0.9318181818181818,0.08051427689820931,0.9258478772766434,1.3658655869857103e-91,11.573328578684732,6.2272727272727275,4.5,,,P0,band_gap
16.0,91,573,89,0.956989247311828,0.08665385984471832,0.9529085953318207,1.2495779843540203e-99,11.043815578748946,6.129032258064516,4.5,,,P0,band_gap
17.0,97,573,94,0.94,0.09286367473140028,0.9338577914601377,4.058700910221029e-100,10.12236488291966,6.57,4.5,,,P0,band_gap
18.0,103,573,96,0.8727272727272727,0.09914492971776269,0.8587200855373408,2.683294126059357e-91,8.802540636335898,7.072727272727272,5.0,,,P0,band_gap
19.0,108,573,103,0.911504424778761,0.10443477276239174,0.9011846680400872,1.6583870353020443e-100,8.727978245833892,7.061946902654867,5.0,,,P0,band_gap
20.0,114,573,108,0.9,0.11085023542627534,0.887533007391683,5.519538872325994e-101,8.119062594130215,7.079166666666667,5.0,,,P0,band_gap
21.0,120,573,115,0.92,0.11734072027853504,0.9093648003958616,1.4176838781213504e-107,7.840415482504024,7.62,5.0,,,P0,band_gap
22.0,126,573,120,0.9090909090909091,0.12390754979930439,0.8962334501475667,1.0710287325328616e-107,7.336848404825875,7.515151515151516,5.0,,,P0,band_gap
23.0,131,573,124,0.8985507246376812,0.12943920253995603,0.883466754236685,2.891258763711315e-107,6.941874694880876,7.677536231884058,6.0,,,P0,band_gap
24.0,137,573,132,0.9295774647887324,0.13614953768030674,0.918478326651395,1.6347151608508495e-116,6.827621162926581,7.633802816901408,5.75,,,P0,band_gap
25.0,143,573,138,0.9324324324324325,0.1429401392933665,0.9211635375015007,2.1958062979815106e-119,6.5232371889517555,7.966216216216216,6.0,,,P0,band_gap
26.0,148,573,143,0.934640522875817,0.14866133274015444,0.923227406862005,1.138161656128626e-121,6.287045229908424,8.392156862745098,6.0,,,P0,band_gap
27.0,154,573,148,0.925,0.15560287751019589,0.9111792330854307,4.7203401296492e-121,5.9446201432835934,8.325,6.0,,,P0,band_gap
28.0,160,573,154,0.927710843373494,0.16262888566726297,0.9136713036917807,1.5967513656916022e-123,5.704465351079025,8.620481927710843,6.0,,,P0,band_gap
29.0,166,573,160,0.9302325581395349,0.16974090852766702,0.9159690720920097,7.301386481743617e-126,5.480308584467786,8.627906976744185,6.0,,,P0,band_gap
30.0,171,573,165,0.9322033898305084,0.17573444559908336,0.9177490678731969,1.0270386474771775e-127,5.304613939814716,8.666666666666666,6.0,,,P0,band_gap
31.0,177,573,170,0.9239130434782609,0.1830083192418814,0.906869361936299,1.093587122748563e-126,5.0484756502087125,9.285326086956522,6.0,,,P0,band_gap
32.0,183,573,176,0.9263157894736842,0.1903728151227539,0.9089899500626482,1.159454569927796e-128,4.865798663934179,9.255263157894737,6.0,,,P0,band_gap
33.0,189,573,181,0.9187817258883249,0.19782963807008228,0.8987518388035747,1.7423248818568456e-127,4.644307773352146,9.555837563451776,6.0,,,P0,band_gap
34.0,194,573,186,0.9207920792079208,0.20411544453627195,0.9004781280798594,6.219159882515144e-129,4.511133791467177,9.720297029702971,6.0,,,P0,band_gap
35.0,200,573,194,0.941747572815534,0.2117461055962624,0.926099410864909,9.09811730577357e-137,4.447531963639369,9.842233009708737,6.0,,,P0,band_gap
