q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,adj_jaccard_ci95_low,adj_jaccard_ci95_high,panel,metric
28.0,160,573,67,0.2648221343873518,0.16262888566726297,0.12204057074684502,4.542179758675091e-06,1.6283831331733722,191.02766798418972,166.0,0.009419348346457843,0.23466179314723218,P0,F3_Longitudinal
29.0,166,573,72,0.27692307692307694,0.16974090852766702,0.1290948446048803,1.5436610941655865e-06,1.6314457093761796,190.43076923076924,165.0,0.016731855919896677,0.24145783328986392,P0,F3_Longitudinal
30.0,171,573,75,0.2808988764044944,0.17573444559908336,0.12758561878986374,2.0467267187912507e-06,1.5984281023956501,190.2621722846442,166.0,0.016876587300372642,0.23829465027935484,P0,F3_Longitudinal
31.0,177,573,80,0.291970802919708,0.1830083192418814,0.13337037113611247,8.423936761479223e-07,1.595396341156553,188.86861313868613,165.0,0.023055251227358964,0.24368549104486598,P0,F3_Longitudinal
32.0,183,573,85,0.302491103202847,0.1903728151227539,0.1384813778172385,3.813040227131897e-07,1.5889406426426922,187.18861209964413,164.0,0.028652229853211475,0.2483105257812655,P0,F3_Longitudinal
33.0,189,573,89,0.3079584775086505,0.19782963807008228,0.1372885918816703,4.986412275933432e-07,1.5566852394460453,186.560553633218,164.0,0.026031891151543696,0.24854529261179692,P0,F3_Longitudinal
34.0,194,573,92,0.3108108108108108,0.20411544453627195,0.13405884753269523,9.048702130504752e-07,1.5227206913075053,185.69932432432432,164.0,0.02222715099556355,0.2458905440698269,P0,F3_Longitudinal
35.0,200,573,98,0.32450331125827814,0.2117461055962624,0.1430468107579845,2.1624993398459543e-07,1.5325113552596363,184.63576158940398,162.5,0.02783993684775163,0.2582536846682174,P0,F3_Longitudinal
36.0,206,573,103,0.3333333333333333,0.21947416273996465,0.14587495398366426,1.4489954894510929e-07,1.518781660546851,183.0,159.0,0.02665284198457467,0.26509706598275384,P0,F3_Longitudinal
37.0,212,573,111,0.3546325878594249,0.22730149363603225,0.16478755060957154,5.25196761060614e-09,1.5601859107326512,182.17252396166134,158.0,0.04203928707644723,0.28753581414269586,P0,F3_Longitudinal
38.0,217,573,118,0.37341772151898733,0.23390149173608848,0.18211265036798271,1.991915544285599e-10,1.5964743052614443,182.08860759493672,158.5,0.059396438463257,0.30482886227270845,P0,F3_Longitudinal
39.0,223,573,123,0.38080495356037153,0.24191586374086366,0.18321065324605515,1.8225158785578445e-10,1.5741214638502732,181.67801857585138,158.0,0.06068181133328032,0.30573949515883,P0,F3_Longitudinal
40.0,229,573,128,0.3878787878787879,0.25003509898592313,0.18380018679071145,1.862599477965283e-10,1.551297355658956,180.27575757575758,156.5,0.06239063615353628,0.3052097374278866,P0,F3_Longitudinal
41.0,234,573,132,0.39285714285714285,0.256882726086866,0.18297840938921767,2.4808961084997284e-10,1.5293248745900356,178.19345238095238,156.0,0.06335105663079109,0.30260576214764423,P0,F3_Longitudinal
42.0,240,573,139,0.40762463343108507,0.26519963409964514,0.19382815515738866,3.213261673114365e-11,1.5370482497646496,177.33724340175954,156.0,0.07602524517739603,0.31163106513738126,P0,F3_Longitudinal
43.0,246,573,143,0.40974212034383956,0.2736274229346693,0.18738964232253494,1.4091512302371646e-10,1.497445380106031,175.69627507163324,154.0,0.07088988163220472,0.30388940301286516,P0,F3_Longitudinal
44.0,252,573,150,0.423728813559322,0.28216832632827377,0.19720568543174327,2.274465751521683e-11,1.5016880848148677,174.88983050847457,153.5,0.07906776363772279,0.31534360722576377,P0,F3_Longitudinal
