q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,adj_jaccard_ci95_low,adj_jaccard_ci95_high,hypergeometric_pvalue,overlap_enrichment,mean_rank_displacement_in_union,median_rank_displacement_in_union,panel,metric
37,212,573,113,0.3633440514469453,0.22730149363603225,0.17606162907066927,0.10005699550677642,0.22864288573443153,5.996190821387547e-10,1.5985114995713665,188.88102893890675,160.0,P0,F1_Frobenius
38,217,573,116,0.36477987421383645,0.23390149173608848,0.17083753729574155,0.10605688764431975,0.2227249508514921,1.828681706804241e-09,1.5595448815068622,187.96226415094338,160.5,P0,F1_Frobenius
39,223,573,122,0.3765432098765432,0.24191586374086366,0.17758892410018695,0.1178343633491656,0.23556719152601907,5.576233371711573e-10,1.5565048279756064,186.98302469135803,159.0,P0,F1_Frobenius
40,229,573,127,0.38368580060422963,0.25003509898592313,0.17820927544420892,0.10333968002147892,0.23583456519368481,5.652004218471523e-10,1.5345277609437984,186.19486404833836,158.0,P0,F1_Frobenius
41,234,573,132,0.39285714285714285,0.256882726086866,0.18297840938921767,0.11821623430057247,0.24641773289546665,2.4808961084997284e-10,1.5293248745900356,185.48065476190476,159.0,P0,F1_Frobenius
42,240,573,136,0.3953488372093023,0.26519963409964514,0.1771218539748339,0.12347921081804343,0.2457585853393056,9.107808645975056e-10,1.4907593615334906,184.76889534883722,159.0,P0,F1_Frobenius
43,246,573,144,0.41379310344827586,0.2736274229346693,0.19296664678600597,0.12808749486095936,0.2446403076112643,4.5493193843259534e-11,1.5122501210234043,183.95833333333334,157.0,P0,F1_Frobenius
44,252,573,148,0.4157303370786517,0.28216832632827377,0.18606313380852232,0.1321770234995026,0.24894588166478696,2.175432770931879e-10,1.4733416131015085,183.31039325842696,157.0,P0,F1_Frobenius
45,257,573,153,0.42382271468144045,0.28937380606327734,0.1891977945160505,0.12995105560726417,0.2640455555826363,1.3500761486465633e-10,1.4646201757071378,182.59141274238226,156.0,P0,F1_Frobenius
46,263,573,159,0.4332425068119891,0.2981280897313316,0.19250580498219014,0.13295091393502947,0.2498529030709768,8.381022067113559e-11,1.4532092806230388,181.2493188010899,151.0,P0,F1_Frobenius
47,269,573,165,0.44235924932975873,0.3070021521112328,0.1953210931763991,0.12002739502748032,0.25265808881518603,5.7853766402989775e-11,1.4408995060382621,180.82171581769438,150.0,P0,F1_Frobenius
48,275,573,168,0.4397905759162304,0.3159984701785904,0.1809822059461792,0.1167428171711737,0.2493981655552735,1.1572402951212976e-09,1.3917490665941432,179.1740837696335,147.25,P0,F1_Frobenius
49,280,573,171,0.43958868894601544,0.32359062621322854,0.17149091545463066,0.10780173189809902,0.23938059507136764,7.766510164568468e-09,1.358471640820493,177.83676092544988,147.0,P0,F1_Frobenius
50,286,573,178,0.4517766497461929,0.33281774305900164,0.17830046505225228,0.11385601382965962,0.23511239984351126,2.6898967966153736e-09,1.3574295817098379,177.2043147208122,146.75,P0,F1_Frobenius
1,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,-0.004888549869008643,-0.004888549869008643,1.0,0.0,346.5,419.5,P0,F3_Longitudinal
2,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,-0.010248200097362744,-0.010248200097362744,1.0,0.0,248.8181818181818,208.25,P0,F3_Longitudinal
3,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,-0.015744274270294834,-0.015744274270294834,1.0,0.0,219.5,180.0,P0,F3_Longitudinal
4,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,-0.020419102556176693,-0.019825835636085757,1.0,0.0,219.9090909090909,180.0,P0,F3_Longitudinal
5,28,573,1,0.01818181818181818,0.025477572909264095,-0.007486492382967622,-0.026143649649318874,0.03246121626316412,0.7625610938212595,0.7136401197465302,222.07272727272726,190.0,P0,F3_Longitudinal
6,34,573,2,0.030303030303030304,0.031004428935034415,-0.000723840905932362,-0.03199646093424275,0.06833804427081316,0.61515108602871,0.9773774697326696,218.84848484848484,190.0,P0,F3_Longitudinal
7,40,573,3,0.03896103896103896,0.03659167305736104,0.0024593579247929767,-0.03798147891609379,0.06194596178625474,0.5420758462727502,1.0647515050750402,213.5974025974026,190.0,P0,F3_Longitudinal
8,45,573,5,0.058823529411764705,0.041294420937402626,0.01828414151037035,-0.031353177177307553,0.05904347413439998,0.2726365746959756,1.4244909621310369,222.13529411764705,192.0,P0,F3_Longitudinal
9,51,573,7,0.07368421052631578,0.046994555952628414,0.028005773461626405,-0.028325710121847508,0.06506330402015284,0.15527433057773457,1.5679307748027485,225.05789473684212,198.0,P0,F3_Longitudinal
