analysis,panel,distance_metric,threshold_quantile,threshold_value,metric,n,tau,rho,nAUCC,n_excluded,boundary_count,nonidentical_space_group_count
continuous_threshold,P0,lattice_distance,1.0,1.8969455919051772,F4_KelvinOp,573,0.255259681075164,0.3655405146817598,0.10572407600228573,0,1,40
continuous_threshold,P2,rms_distance,0.5,0.0027079200585092434,F1_Frobenius,104,0.09653627154387155,0.13114832803932291,-0.02418620386736506,103,1,0
continuous_threshold,P2,rms_distance,0.5,0.0027079200585092434,F3_Longitudinal,104,0.11967103890379152,0.18098932019730457,-0.03012936273888876,103,1,0
continuous_threshold,P2,rms_distance,0.5,0.0027079200585092434,F4_KelvinOp,104,0.08832041864652078,0.11803616247818174,-0.03414882470415611,103,1,0
continuous_threshold,P2,rms_distance,0.55,0.0031080704961499845,F1_Frobenius,114,0.11055042343693973,0.15171047915318195,-0.016582302741097375,93,0,0
continuous_threshold,P2,rms_distance,0.55,0.0031080704961499845,F3_Longitudinal,114,0.1270608391164664,0.19021656704026668,-0.028255086203298408,93,0,0
continuous_threshold,P2,rms_distance,0.55,0.0031080704961499845,F4_KelvinOp,114,0.1062029348748129,0.1433185705407255,-0.027027698185480183,93,0,0
continuous_threshold,P2,rms_distance,0.6,0.003325630010247672,F1_Frobenius,124,0.13325463993503123,0.17995993686853215,-0.0075600076935915675,83,0,0
continuous_threshold,P2,rms_distance,0.6,0.003325630010247672,F3_Longitudinal,124,0.14033269015684416,0.21155374725216827,-0.02258419219251995,83,0,0
continuous_threshold,P2,rms_distance,0.6,0.003325630010247672,F4_KelvinOp,124,0.12853301883497104,0.17407477926746617,-0.018386048850219897,83,0,0
continuous_threshold,P2,rms_distance,0.65,0.003818266482834177,F1_Frobenius,134,0.1529827714401867,0.20740735198965735,-0.0005233448106159781,73,0,0
continuous_threshold,P2,rms_distance,0.65,0.003818266482834177,F3_Longitudinal,134,0.16116550658269505,0.24176827604475534,-0.009271819306409699,73,0,0
continuous_threshold,P2,rms_distance,0.65,0.003818266482834177,F4_KelvinOp,134,0.15253381246310618,0.20816048140447388,-0.004221564511745441,73,0,0
continuous_threshold,P2,rms_distance,0.7,0.003966522493135757,F1_Frobenius,145,0.16036786913065948,0.21580917122069346,0.015691013675313916,62,0,0
continuous_threshold,P2,rms_distance,0.7,0.003966522493135757,F3_Longitudinal,145,0.17235284586854813,0.2545222288497575,0.003449666846683191,62,0,0
continuous_threshold,P2,rms_distance,0.7,0.003966522493135757,F4_KelvinOp,145,0.16209225482023648,0.22459915150917675,0.010515410279323463,62,0,0
continuous_threshold,P2,rms_distance,0.75,0.004350897834876816,F1_Frobenius,155,0.17991368851422837,0.24114331106798872,0.025669145178904305,52,0,0
continuous_threshold,P2,rms_distance,0.75,0.004350897834876816,F3_Longitudinal,155,0.19477829949809616,0.2824622609613377,0.014994417128242475,52,0,0
continuous_threshold,P2,rms_distance,0.75,0.004350897834876816,F4_KelvinOp,155,0.18846105517862113,0.2592574987694569,0.02200573782218948,52,0,0
continuous_threshold,P2,rms_distance,0.8,0.004992060232205001,F1_Frobenius,165,0.19543925799651182,0.26366360630386754,0.037517380563260344,42,0,0
continuous_threshold,P2,rms_distance,0.8,0.004992060232205001,F3_Longitudinal,165,0.20916659975554322,0.3026546421373862,0.028768718202744736,42,0,0
continuous_threshold,P2,rms_distance,0.8,0.004992060232205001,F4_KelvinOp,165,0.2040137488919715,0.2809825841823033,0.03299182536837375,42,0,0
continuous_threshold,P2,rms_distance,0.8500000000000001,0.0054701198633676585,F1_Frobenius,176,0.1974218269053873,0.2648078331628727,0.04730241456932418,31,0,0
continuous_threshold,P2,rms_distance,0.8500000000000001,0.0054701198633676585,F3_Longitudinal,176,0.21312458807229462,0.3066010958116658,0.03338965552971287,31,0,0
continuous_threshold,P2,rms_distance,0.8500000000000001,0.0054701198633676585,F4_KelvinOp,176,0.20664350434636258,0.28247900475296717,0.037154010949540316,31,0,0
continuous_threshold,P2,rms_distance,0.9,0.006068550296699624,F1_Frobenius,186,0.20519676800558043,0.27945447916579247,0.05298420536353525,21,0,0
continuous_threshold,P2,rms_distance,0.9,0.006068550296699624,F3_Longitudinal,186,0.2206052142126103,0.3203697002773347,0.0350747014643085,21,0,0
continuous_threshold,P2,rms_distance,0.9,0.006068550296699624,F4_KelvinOp,186,0.2186827878858339,0.30342498389191774,0.04147586415204152,21,0,0
continuous_threshold,P2,rms_distance,0.95,0.00663123249836644,F1_Frobenius,196,0.21085409252669038,0.28948081422405825,0.05993230158020913,11,0,0
continuous_threshold,P2,rms_distance,0.95,0.00663123249836644,F3_Longitudinal,196,0.22064434226508967,0.3202646217451839,0.03936192796619527,11,0,0
continuous_threshold,P2,rms_distance,0.95,0.00663123249836644,F4_KelvinOp,196,0.22236759472472262,0.3105384703654828,0.04702967818431502,11,0,0
continuous_threshold,P2,rms_distance,1.0,0.007758662362214258,F1_Frobenius,207,0.191753834607627,0.2669622405892357,0.060232288789580576,0,1,0
continuous_threshold,P2,rms_distance,1.0,0.007758662362214258,F3_Longitudinal,207,0.21515646248778617,0.3138496663955457,0.043279956848819176,0,1,0
continuous_threshold,P2,rms_distance,1.0,0.007758662362214258,F4_KelvinOp,207,0.2051690979877105,0.28950708065055125,0.04593413088143092,0,1,0
continuous_threshold,P2,max_distance,0.5,0.004186554019297622,F1_Frobenius,104,0.07039492141593728,0.09675156500505185,-0.027453224394127854,103,1,0
continuous_threshold,P2,max_distance,0.5,0.004186554019297622,F3_Longitudinal,104,0.09798066310247931,0.15066527315230885,-0.04096183429671249,103,1,0
