q_percentile,k,n,observed_overlap,observed_jaccard,expected_jaccard,chance_adjusted_jaccard,cluster_boot_ci95_low,cluster_boot_ci95_high,panel,metric
50.0,286,573,183,0.4704370179948586,0.33281774305900164,0.20626938666929684,0.0804062183148459,0.3321325550237478,P0,F3_Longitudinal
1.0,5,573,0,0.0,0.0048647682070274215,-0.004888549869008643,-0.005587424168842112,-0.0041896755691751735,P0,F4_KelvinOp
2.0,11,573,0,0.0,0.010144239897062002,-0.010248200097362744,-0.011208170117301295,-0.009288230077424192,P0,F4_KelvinOp
3.0,17,573,0,0.0,0.015500234329753358,-0.015744274270294834,-0.029107920346105497,-0.002380628194484171,P0,F4_KelvinOp
4.0,22,573,0,0.0,0.02001050598232266,-0.020419102556176693,-0.07417243008101929,0.03333422496866589,P0,F4_KelvinOp
5.0,28,573,0,0.0,0.025477572909264095,-0.026143649649318874,-0.10779595322029745,0.055508653921659705,P0,F4_KelvinOp
6.0,34,573,2,0.030303030303030304,0.031004428935034415,-0.000723840905932362,-0.08863162084003724,0.08718393902817252,P0,F4_KelvinOp
7.0,40,573,2,0.02564102564102564,0.03659167305736104,-0.011366569200296517,-0.11170027530206669,0.08896713690147365,P0,F4_KelvinOp
8.0,45,573,4,0.046511627906976744,0.041294420937402626,0.00544192824524438,-0.11721985434500576,0.12810371083549452,P0,F4_KelvinOp
9.0,51,573,7,0.07368421052631578,0.046994555952628414,0.028005773461626405,-0.1076774824266065,0.16368902934985932,P0,F4_KelvinOp
10.0,57,573,9,0.08571428571428572,0.05275760760908707,0.03479223308620452,-0.10990019772281143,0.17948466389522047,P0,F4_KelvinOp
11.0,63,573,12,0.10526315789473684,0.05858458404020633,0.04958339651464139,-0.09570588940717176,0.19487268243645453,P0,F4_KelvinOp
12.0,68,573,14,0.11475409836065574,0.06348998130614933,0.05473952870894474,-0.08419778537839942,0.1936768427962889,P0,F4_KelvinOp
13.0,74,573,16,0.12121212121212122,0.06943688706444504,0.055638605730186315,-0.07787487586912659,0.1891520873294992,P0,F4_KelvinOp
14.0,80,573,19,0.1347517730496454,0.07545075520425892,0.06414046431727682,-0.0674209195117918,0.19570184814634545,P0,F4_KelvinOp
15.0,85,573,22,0.14864864864864866,0.08051427689820931,0.07410052167052147,-0.05576191555929452,0.20396295890033747,P0,F4_KelvinOp
16.0,91,573,27,0.17419354838709677,0.08665385984471832,0.09584503037095604,-0.03188893172387125,0.22357899246578333,P0,F4_KelvinOp
17.0,97,573,28,0.1686746987951807,0.09286367473140028,0.08357180938745129,-0.04452319043928943,0.211666809214192,P0,F4_KelvinOp
18.0,103,573,30,0.17045454545454544,0.09914492971776269,0.07915770037731096,-0.04911617455184261,0.20743157530646453,P0,F4_KelvinOp
19.0,108,573,32,0.17391304347826086,0.10443477276239174,0.07758035774811899,-0.05431854131877274,0.20947925681501073,P0,F4_KelvinOp
20.0,114,573,35,0.18134715025906736,0.11085023542627534,0.07928575999408782,-0.05849172015629564,0.2170632401444713,P0,F4_KelvinOp
21.0,120,573,40,0.2,0.11734072027853504,0.09364800395861608,-0.048666722997133705,0.23596273091436587,P0,F4_KelvinOp
22.0,126,573,45,0.21739130434782608,0.12390754979930439,0.10670535344426994,-0.03723010990296276,0.25064081679150263,P0,F4_KelvinOp
23.0,131,573,49,0.2300469483568075,0.12943920253995603,0.11556659352268737,-0.024920301331631714,0.2560534883770065,P0,F4_KelvinOp
24.0,137,573,52,0.23423423423423423,0.13614953768030674,0.11354360602012199,-0.022914683739831035,0.25000189578007503,P0,F4_KelvinOp
25.0,143,573,54,0.23275862068965517,0.1429401392933665,0.10479837583600593,-0.028810307263145596,0.23840705893515746,P0,F4_KelvinOp
26.0,148,573,57,0.2384937238493724,0.14866133274015444,0.10551898388259077,-0.02670024041184689,0.23773820817702845,P0,F4_KelvinOp
27.0,154,573,63,0.2571428571428571,0.15560287751019589,0.12025145151283637,-0.009853170260236438,0.25035607328590914,P0,F4_KelvinOp
28.0,160,573,69,0.2749003984063745,0.16262888566726297,0.13407617102791464,0.004345510028108013,0.26380683202772126,P0,F4_KelvinOp
29.0,166,573,72,0.27692307692307694,0.16974090852766702,0.1290948446048803,0.0012352032595815132,0.2569544859501791,P0,F4_KelvinOp
